Reference,Qty,Value,DNP,Exclude from BOM,Size,Footprint,Datasheet,Note
A1,1,RaspberryPi_Pico,,,,Module:RaspberryPi_Pico_Common_Unspecified,https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf,
C1,1,1uF,,,0805,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
C2,1,0.01uF,,,0805,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
C3,1,470pF,,,0805,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
"C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17",14,0.1uF,,,0805,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
D1,1,1N5817,,,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88525/1n5817.pdf,
"J1,J4",2,~,,,20 Pins each,MyLibrary:PiPico Header,,
J2,1,~,,,,MyLibrary:MIDI_DIN5,,
J3,1,Conn_01x02,1,,2 Pin Header,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13",13,19-C47/RSGHBHC-5V01/2T,,,,MyLibrary:19-C47&slash_RSGHBHC-5V01&slash_2T_EVE-M,19-C47/RSGHBHC-5V01/2T,
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R18,R19",17,10K,,,0805,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
R16,1,33R 0.5W,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,
R17,1,10R 0.25W,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,
"SW8va1,SW8vb1,SWA1,SWB1,SWBb1,SWC1,SWCTRL1,SWD1,SWDup1,SWE1,SWEb1,SWF1,SWG1,SWGs1,SWSPR1",15,Omron_B3K_L13L,,,,MyLibrary:Omron B3K L13L,~,
U1,1,Perfboard,1,,,MyLibrary:Perfboard 12x20,,
U2,1,~,,,,MyLibrary:BPS110 AD0P15,,Place either U2 or U3
U3,1,~,,,,MyLibrary:MP3V5004GP,,Place either U2 or U3
